2019-06-17 18:13:13,155 INFO - helpers.log_helper - Completed configuring logger.
2019-06-17 18:13:48,870 INFO - __main__ - Completed generating dataset.
2019-06-17 18:13:48,871 INFO - __main__ - Dataset info: {'X_train_np.shape': (825309, 672), 'y_train_np.shape': (825309, 5), 'X_val_np.shape': (275103, 672), 'y_val_np.shape': (275103, 5), 'X_test_np.shape': (276432, 672), 'y_test_np.shape': (276432, 5)}
2019-06-17 18:13:52,535 INFO - models.multi_lightgbm - Finished building model.
2019-06-17 18:13:52,536 INFO - models.multi_lightgbm - Model summary:
2019-06-17 18:13:52,537 INFO - models.multi_lightgbm - 1-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,538 INFO - models.multi_lightgbm - 2-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 3-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 4-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,540 INFO - models.multi_lightgbm - 5-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,545 INFO - trainers.multi_lightgbm_trainer - Started training for the 1-th regressor.
[1]	valid_0's rmse: 0.138556	valid_0's l2: 0.0191977
Training until validation scores don't improve for 200 rounds.
[2]	valid_0's rmse: 0.13762	valid_0's l2: 0.0189393
[3]	valid_0's rmse: 0.136691	valid_0's l2: 0.0186844
[4]	valid_0's rmse: 0.135793	valid_0's l2: 0.0184397
[5]	valid_0's rmse: 0.134877	valid_0's l2: 0.0181918
[6]	valid_0's rmse: 0.133968	valid_0's l2: 0.0179474
[7]	valid_0's rmse: 0.133065	valid_0's l2: 0.0177064
[8]	valid_0's rmse: 0.132181	valid_0's l2: 0.0174717
[9]	valid_0's rmse: 0.131291	valid_0's l2: 0.0172373
[10]	valid_0's rmse: 0.130407	valid_0's l2: 0.0170061
[11]	valid_0's rmse: 0.129553	valid_0's l2: 0.0167841
[12]	valid_0's rmse: 0.128682	valid_0's l2: 0.0165592
[13]	valid_0's rmse: 0.127829	valid_0's l2: 0.0163403
[14]	valid_0's rmse: 0.126971	valid_0's l2: 0.0161217
[15]	valid_0's rmse: 0.126129	valid_0's l2: 0.0159086
[16]	valid_0's rmse: 0.125283	valid_0's l2: 0.0156959
[17]	valid_0's rmse: 0.124454	valid_0's l2: 0.0154887
[18]	valid_0's rmse: 0.12362	valid_0's l2: 0.0152818
[19]	valid_0's rmse: 0.122791	valid_0's l2: 0.0150776
[20]	valid_0's rmse: 0.121969	valid_0's l2: 0.0148764
[21]	valid_0's rmse: 0.121153	valid_0's l2: 0.014678
[22]	valid_0's rmse: 0.120354	valid_0's l2: 0.014485
[23]	valid_0's rmse: 0.119548	valid_0's l2: 0.0142918
[24]	valid_0's rmse: 0.118761	valid_0's l2: 0.0141043
[25]	valid_0's rmse: 0.11798	valid_0's l2: 0.0139193
[26]	valid_0's rmse: 0.117193	valid_0's l2: 0.0137341
[27]	valid_0's rmse: 0.116411	valid_0's l2: 0.0135515
[28]	valid_0's rmse: 0.115635	valid_0's l2: 0.0133714
[29]	valid_0's rmse: 0.114865	valid_0's l2: 0.0131939
[30]	valid_0's rmse: 0.114099	valid_0's l2: 0.0130186
[31]	valid_0's rmse: 0.113341	valid_0's l2: 0.0128461
[32]	valid_0's rmse: 0.112588	valid_0's l2: 0.012676
[33]	valid_0's rmse: 0.111839	valid_0's l2: 0.0125081
[34]	valid_0's rmse: 0.111098	valid_0's l2: 0.0123427
[35]	valid_0's rmse: 0.110361	valid_0's l2: 0.0121797
[36]	valid_0's rmse: 0.10963	valid_0's l2: 0.0120187
[37]	valid_0's rmse: 0.108904	valid_0's l2: 0.01186
[38]	valid_0's rmse: 0.108183	valid_0's l2: 0.0117035
[39]	valid_0's rmse: 0.107467	valid_0's l2: 0.0115491
[40]	valid_0's rmse: 0.106756	valid_0's l2: 0.0113969
[41]	valid_0's rmse: 0.106051	valid_0's l2: 0.0112468
[42]	valid_0's rmse: 0.10537	valid_0's l2: 0.0111027
[43]	valid_0's rmse: 0.104674	valid_0's l2: 0.0109566
[44]	valid_0's rmse: 0.103985	valid_0's l2: 0.0108128
[45]	valid_0's rmse: 0.1033	valid_0's l2: 0.0106709
[46]	valid_0's rmse: 0.10262	valid_0's l2: 0.0105309
[47]	valid_0's rmse: 0.101946	valid_0's l2: 0.010393
[48]	valid_0's rmse: 0.101277	valid_0's l2: 0.010257
[49]	valid_0's rmse: 0.100612	valid_0's l2: 0.0101227
[50]	valid_0's rmse: 0.0999519	valid_0's l2: 0.00999037
[51]	valid_0's rmse: 0.0992973	valid_0's l2: 0.00985995
[52]	valid_0's rmse: 0.098648	valid_0's l2: 0.00973143
[53]	valid_0's rmse: 0.0980028	valid_0's l2: 0.00960455
[54]	valid_0's rmse: 0.0973628	valid_0's l2: 0.00947952
[55]	valid_0's rmse: 0.0967279	valid_0's l2: 0.00935629
[56]	valid_0's rmse: 0.0960966	valid_0's l2: 0.00923456
[57]	valid_0's rmse: 0.0954701	valid_0's l2: 0.00911453
[58]	valid_0's rmse: 0.0948488	valid_0's l2: 0.00899629
